1,2,3,4,5,6,7,8
-4872.143849390012,6400.712597455096,187500.0,187500.0,0.0,0.0,0.0,0.0
-1926.1839301805414,11788.265322240035,187500.0,187500.0,0.0,0.0,0.0,0.0
-1822.9635742859334,13825.02333224098,187500.0,187500.0,0.0,0.0,0.0,0.0
-5350.672346433681,10616.698636615114,187500.0,187500.0,0.0,0.0,0.0,0.0
-6568.082459936436,9070.382603452517,187500.0,187500.0,0.0,0.0,0.0,0.0
-6705.9927232256805,8760.587425301961,187500.0,187500.0,0.0,0.0,0.0,0.0
-6694.0792434310015,8676.38840393882,187500.0,187500.0,0.0,0.0,0.0,0.0
-6558.694727265207,8662.083287487423,187500.0,187500.0,0.0,0.0,0.0,0.0
-5757.339985053538,8996.174811860898,187500.0,187500.0,0.0,0.0,0.0,0.0
2872.5791421626977,18589.63293905651,187500.0,187500.0,0.0,0.0,0.0,0.0
13762.72902044404,34561.83189890765,176202.13195110942,176117.48589485718,0.0,0.0,0.0,0.0
13512.031854633315,38870.510622323825,154004.39101509942,153923.0306652821,0.0,0.0,0.0,0.0
7095.650684315048,34357.91693424188,137358.4210703875,137278.8488601266,0.0,0.0,0.0,0.0
-1860.5815602042153,24449.58978290436,129983.12771119211,129903.82372186468,0.0,0.0,0.0,0.0
-12722.99292361652,10372.550531929795,132971.60064835558,132890.79909214962,0.0,0.0,0.0,0.0
-28033.423785379386,-11272.968205567386,151866.31254748258,151780.68301447429,0.0,0.0,0.0,0.0
-36383.16379584835,-27548.860317332783,183654.87410484246,183563.65663572034,0.0,0.0,0.0,0.0
-20306.559837646466,-12839.669029673223,187500.0,187500.0,0.0,0.0,0.0,0.0
-15043.931012622239,-6006.226659563382,187500.0,187500.0,0.0,0.0,0.0,0.0
-10926.471463021215,-1585.3868824704746,187500.0,187500.0,0.0,0.0,0.0,0.0
-4949.167960783,6404.020655634482,187500.0,187500.0,0.0,0.0,0.0,0.0
-2042.100076925764,11714.057530648415,187500.0,187500.0,0.0,0.0,0.0,0.0
-2022.7881697163787,13632.08307410277,187500.0,187500.0,0.0,0.0,0.0,0.0
